Actual Time,Error List
221,31.99511166
222,46.40245619
222,102.8210574
231,40.88650242
257,94.14792246
271,7.239852424
294,0
301,0.98839601
304,17.10295292
324,34.04947828
346,87.36892171
403,5.90442386
419,0
420,31.76993664
471,107.9135573
492,0
497,0
501,21.98181366
501,2.816342569
507,10.67859113
515,21.80698214
521,13.35837551
529,24.28194746
542,0
554,39.1509343
565,0
570,30.06330061
573,7.820751797
641,2.951360234
645,12.28072521
655,18.16659907
655,37.52535973
691,82.50788207
714,11.21707515
745,16.67706587
800,17.94099172
891,10.45276569
917,17.2917652
919,6.313276296
921,2.998335812
963,1.107296906
1089,2.262197021
1132,38.51957459
1347,2.751973984
1353,19.89516579
1368,0
1380,0
1383,9.152166832
1724,28.34815827
2646,29.4769072
